#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21C18: Council Pass Am (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Council Pass Am (disc) (21C18) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 4200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,,,,,,,Apr 03,161,70.0,Apr 30,118,60.7,,,
1957,,,,,,,Feb 28,62,23.1,Mar 28,74,27.4,Apr 28,56,24.4,,,
1958,Jan 04,87,32.6,Feb 04,94,36.5,Feb 28,88,38.7,,,,May 01,72,36.0,May 29,2,1.0
1959,Jan 04,10,2.5,,,,Mar 04,70,25.2,Apr 02,80,33.8,May 06,57,25.1,,,
1960,,,,Feb 01,25,9.0,Feb 27,62,23.3,Apr 03,87,35.7,May 01,78,32.8,,,
1961,Dec 29,46,13.8,Jan 31,48,19.2,Mar 07,96,36.4,Apr 01,82,40.2,,,,,,
1962,Dec 31,54,21.6,Jan 29,56,22.4,Feb 27,70,28.7,Mar 30,94,38.5,Apr 30,54,24.2,,,
1963,Jan 04,26,9.4,Feb 05,25,9.7,Mar 04,16,6.4,Apr 02,59,17.7,May 08,36,15.9,,,
1964,Jan 11,64,18.6,Feb 02,112,40.3,Feb 26,107,44.9,Mar 28,138,53.8,Apr 28,115,50.5,,,
1965,,,,Feb 02,85,34.0,Mar 01,107,43.9,Mar 30,90,43.2,May 02,48,25.0,,,
1966,Jan 07,87,21.8,Jan 28,90,33.3,Mar 02,130,43.0,Mar 29,123,53.5,Apr 29,81,38.9,,,
1967,,,,Jan 30,77,29.3,Mar 03,105,40.3,Apr 01,124,47.1,May 04,106,48.2,,,
1968,Dec 30,27,9.5,Feb 05,66,24.4,Feb 26,48,21.1,Mar 30,53,21.7,Apr 29,52,22.9,,,
1969,Jan 02,77,22.0,Feb 06,118,39.0,Feb 24,116,46.4,Mar 27,102,44.9,Apr 26,84,42.8,,,
1970,Dec 28,45,13.0,Jan 29,80,25.6,Feb 24,84,31.9,Mar 27,76,36.5,Apr 28,86,38.4,,,
