#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 04E01: Warren Peak, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Warren Peak (04E01) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 6520 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Jan 31,20,4.8,Feb 27,47,9.0,Mar 28,46,13.5,Apr 30,27,12.4,,,
1965,,,,Feb 02,38,9.4,Mar 02,41,12.3,Apr 01,48,16.0,Apr 30,0,0.0,,,
1966,,,,Jan 31,11,1.5,Mar 02,18,4.1,Mar 31,20,6.8,,,,,,
1967,,,,Feb 02,28,6.7,Feb 28,39,11.7,Mar 31,34,11.5,May 04,32,9.1,,,
1968,,,,Jan 31,25,6.7,Mar 01,32,8.3,Mar 31,31,9.6,May 02,0,0.0,,,
1969,,,,Jan 31,26,6.3,Feb 27,28,7.1,Apr 01,34,8.6,Apr 30,29,7.7,,,
1970,,,,Jan 30,33,8.4,Feb 27,36,10.3,Mar 31,51,14.9,Apr 30,50,16.7,,,
1971,,,,Feb 02,40,10.6,Mar 01,49,14.3,Mar 30,55,15.8,Apr 30,40,14.4,,,
1972,,,,Jan 31,25,5.3,Feb 29,27,6.3,Mar 31,29,8.0,May 02,28,7.9,,,
1973,,,,Jan 31,17,3.0,Feb 28,19,4.0,Mar 30,34,8.2,May 01,43,13.0,,,
1974,,,,Jan 31,20,3.7,Feb 28,26,6.2,Mar 29,25,6.3,Apr 30,14,4.2,,,
1975,,,,Feb 03,31,7.9,Feb 27,37,10.6,Mar 31,46,13.4,May 01,57,14.4,,,
1976,,,,Jan 29,24,5.8,Feb 26,27,7.4,Mar 31,30,7.9,Apr 28,22,5.8,,,
1977,,,,Jan 27,34,6.5,Feb 25,40,10.8,Apr 01,61,15.2,Apr 27,24,9.0,,,
1978,,,,Feb 01,23,5.5,Feb 27,27,7.0,Mar 30,20,2.9,Apr 27,9,1.8,,,
