#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06H02: Hairpin Turn, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hairpin Turn (06H02) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9460 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:53 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 30,70,20.9,Apr 29,38,16.7,,,
1937,,,,,,,,,,Mar 30,46,14.8,Apr 29,44,16.9,,,
1938,,,,Jan 30,38,10.4,Mar 02,40,12.2,Mar 30,49,14.6,Apr 29,37,12.4,,,
1939,,,,Jan 30,37,10.0,Feb 27,40,11.6,Mar 31,43,14.2,Apr 29,37,13.4,,,
1940,,,,Jan 25,26,5.6,Mar 01,29,8.3,Mar 31,35,11.0,May 01,31,9.9,,,
1941,,,,Feb 01,25,6.1,Mar 01,28,7.2,Apr 01,32,9.2,May 01,40,13.9,,,
1942,,,,Jan 31,29,7.4,Feb 28,35,9.0,Mar 30,38,12.2,May 01,40,10.4,,,
1943,,,,Jan 30,53,16.6,Feb 26,57,19.8,Apr 03,58,21.9,May 03,33,14.4,,,
1944,,,,Feb 01,22,4.4,Mar 01,26,6.5,Apr 01,43,11.4,May 01,46,14.4,,,
1945,,,,Feb 01,30,6.7,Feb 28,43,12.1,Apr 03,58,16.3,Apr 30,53,19.4,,,
1946,,,,Feb 03,36,9.9,Feb 28,43,11.2,Apr 01,38,12.4,May 01,25,7.8,,,
1947,,,,Feb 02,37,9.4,Feb 27,45,11.7,Mar 31,47,15.2,Apr 30,50,17.9,,,
1948,,,,Jan 31,38,10.5,Feb 28,47,13.2,Apr 02,58,17.9,May 01,46,17.1,,,
1949,,,,Feb 01,48,15.2,Mar 01,51,17.9,Mar 31,62,20.3,May 02,43,17.4,,,
1950,,,,Jan 31,40,11.5,Mar 01,45,14.8,Mar 31,52,18.8,May 01,59,20.0,,,
1951,,,,Feb 01,50,15.8,Mar 01,56,20.3,Apr 02,62,24.2,May 01,67,25.0,,,
