#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06H05: North Barrett Creek, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# North Barrett Creek (06H05) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9430 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:56 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 29,58,16.0,Apr 27,44,22.2,,,
1937,,,,,,,Feb 24,45,14.2,Mar 31,62,17.8,Apr 29,61,19.2,,,
1938,,,,Feb 02,62,19.5,Mar 01,59,20.4,Mar 30,78,28.4,Apr 30,61,26.2,,,
1939,,,,Jan 31,66,17.0,Feb 28,65,19.8,Mar 31,67,25.6,Apr 29,56,24.2,,,
1940,,,,Jan 25,55,9.6,Feb 28,56,19.2,Mar 30,60,21.8,Apr 30,68,27.6,,,
1941,Jan 01,27,5.4,Jan 31,42,6.8,Feb 27,51,13.2,Mar 31,53,16.0,May 01,69,25.8,,,
1942,Dec 31,31,4.8,Jan 30,40,10.4,Feb 28,48,12.6,Mar 31,56,17.4,May 01,54,19.0,,,
1943,,,,Jan 29,52,11.2,Mar 01,65,17.8,Mar 30,62,22.6,Apr 29,38,17.2,,,
1944,,,,Jan 26,33,5.6,Feb 25,43,8.2,Mar 31,74,11.6,Apr 28,55,18.2,,,
1945,,,,Jan 29,40,8.6,Feb 27,51,14.0,Apr 04,78,24.2,Apr 27,76,26.8,,,
1946,,,,Jan 28,48,11.0,Feb 26,55,14.8,Mar 28,60,20.0,Apr 29,35,18.4,,,
1947,,,,Jan 30,41,8.6,Feb 27,65,14.6,Mar 27,66,18.4,Apr 29,74,25.2,,,
1948,,,,Jan 28,44,10.4,Feb 29,54,12.4,Mar 29,60,17.6,Apr 29,46,18.0,,,
1949,,,,Jan 30,59,17.2,Feb 26,57,20.0,Mar 30,78,26.0,Apr 29,56,24.0,,,
1950,,,,Jan 31,42,10.4,Mar 01,49,13.2,Mar 30,73,21.2,Apr 28,66,22.4,Jun 01,30,14.2
1951,,,,Feb 02,55,14.8,Feb 25,49,16.0,Apr 04,61,21.0,Apr 28,63,23.8,,,
1952,,,,Jan 31,55,15.2,Feb 26,62,19.6,Mar 30,82,27.0,Apr 25,67,26.8,May 27,24,12.8
1953,,,,Mar 01,,9.5,May 01,,18.0,Mar 30,44,14.6,Apr 30,43,15.4,May 27,33,20.0
