#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06H12: Foxpark, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Foxpark (06H12) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9060 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:05 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1950,,,,Feb 01,14,3.2,Mar 01,12,2.5,Apr 02,16,3.8,May 04,10,3.9,,,
1951,,,,Feb 01,29,6.8,Mar 02,29,7.8,Apr 02,35,10.0,Apr 30,28,9.7,,,
1952,,,,Feb 01,24,5.8,Mar 01,27,7.2,Mar 30,37,8.8,May 01,13,3.2,,,
1953,,,,Feb 01,16,4.4,Mar 01,21,7.1,Apr 01,16,4.2,May 01,7,1.6,,,
1954,,,,Jan 28,8,1.4,Feb 26,7,1.4,Apr 01,29,6.3,Apr 30,0,0.0,,,
1955,,,,Jan 31,17,3.4,Feb 28,18,4.2,Apr 01,15,4.0,Apr 29,0,0.0,,,
1956,,,,Jan 27,28,6.1,Feb 27,33,8.4,Mar 28,26,5.8,Apr 29,15,5.0,,,
1957,,,,Jan 26,30,6.5,Feb 27,31,7.2,Mar 30,35,7.7,Apr 29,38,10.2,,,
1958,,,,Jan 28,21,4.1,Feb 26,29,6.9,Mar 31,37,8.7,Apr 30,33,14.6,,,
1959,,,,Jan 30,19,4.4,Feb 25,23,5.6,Mar 30,30,6.9,Apr 28,21,8.2,,,
1960,,,,Jan 28,13,2.4,Feb 26,22,4.5,Mar 30,20,6.1,Apr 20,0,0.0,,,
1961,,,,Jan 28,17,3.1,Feb 27,20,3.9,Mar 29,27,5.3,Apr 27,19,6.4,,,
1962,,,,Jan 31,32,8.1,Feb 27,42,10.8,Mar 26,39,10.7,Apr 27,10,4.0,,,
1963,,,,Jan 30,15,1.7,Mar 04,24,7.4,Apr 01,16,5.9,May 01,5,1.8,,,
1964,,,,Feb 03,20,4.3,Mar 02,22,4.7,Apr 01,28,4.4,May 01,25,9.3,,,
1965,,,,Feb 02,29,6.4,Mar 01,30,8.4,Apr 01,38,10.5,May 03,21,7.6,,,
1966,,,,Jan 31,14,2.4,Feb 28,19,4.7,Apr 04,10,3.6,May 03,8,2.6,,,
1967,,,,Jan 31,20,3.4,Mar 01,23,5.4,Mar 31,20,5.0,Apr 28,7,3.6,,,
1968,,,,Jan 31,21,4.6,Mar 01,32,7.2,Mar 28,31,8.8,Apr 29,37,13.2,,,
1969,,,,Jan 31,15,2.7,Feb 28,19,4.5,Mar 27,25,6.2,Apr 29,0,0.0,,,
