#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06H14: Rock Creek, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rock Creek (06H14) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9980 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:11 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,,,,May 01,,24.3,Apr 01,70,34.5,,,,,,
1960,,,,Jan 30,42,10.0,Feb 29,58,16.5,Apr 05,71,23.5,,,,,,
1961,,,,Jan 31,37,11.0,Feb 27,40,12.0,Mar 30,71,21.0,,,,,,
1962,,,,Feb 01,74,23.0,May 01,,25.8,Apr 01,97,35.5,,,,,,
1963,,,,Feb 01,22,4.3,Mar 04,66,18.5,Mar 27,64,22.2,Apr 30,79,27.3,,,
1964,,,,Jan 29,44,11.0,Mar 03,74,21.1,Mar 25,81,24.4,Apr 29,93,33.6,,,
1965,,,,Jan 28,59,15.3,Feb 25,63,20.1,Mar 26,75,25.4,May 02,70,28.7,,,
1966,,,,Feb 01,51,12.9,Mar 01,65,19.6,Mar 31,65,22.7,Apr 27,60,22.8,,,
1967,,,,Jan 27,58,15.3,Feb 27,80,23.7,Mar 31,77,28.0,Apr 30,71,28.0,,,
1968,,,,Feb 01,66,19.6,Feb 27,73,22.3,Mar 29,75,27.6,Apr 28,97,35.6,,,
1969,,,,Jan 28,55,12.1,Feb 27,75,20.5,Apr 02,73,26.2,May 01,60,24.1,,,
1970,,,,Mar 01,,18.6,Feb 25,79,25.2,Apr 01,106,37.5,Apr 28,99,38.2,,,
1971,,,,Feb 02,70,25.8,Mar 01,88,31.5,Apr 02,117,42.4,Apr 28,95,38.9,,,
1972,,,,Jan 28,61,17.4,Feb 28,75,23.0,Mar 28,74,26.0,May 02,78,30.2,,,
1973,,,,Jan 30,56,16.1,Feb 27,62,19.4,Mar 27,80,27.1,Apr 26,104,34.2,,,
1974,,,,Jan 31,68,21.4,Feb 26,75,25.4,Mar 29,88,32.8,Apr 26,100,40.7,,,
