#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06H18: Purgatory Gulch, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Purgatory Gulch (06H18) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 8970 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1966,,,,,,,Feb 27,32,8.1,Apr 06,26,7.2,Apr 27,18,4.7,,,
1967,,,,Jan 31,31,7.3,Mar 02,33,9.4,,,,May 02,29,9.9,,,
1968,,,,Jan 31,30,7.3,Mar 01,37,8.2,,,,May 01,42,14.4,,,
1969,,,,Jan 31,35,8.3,,,,Mar 27,42,13.4,,,,,,
1970,,,,Jan 30,32,8.0,Feb 26,32,9.1,Apr 02,48,11.5,Apr 30,45,13.7,,,
1971,,,,Jan 28,36,10.8,Mar 02,42,12.1,Mar 31,45,14.3,Apr 26,34,13.6,,,
1972,,,,,,,Mar 01,33,8.2,Mar 30,29,9.9,May 03,20,6.8,,,
1973,,,,Feb 02,32,8.6,Mar 02,38,10.8,Mar 30,42,12.1,May 01,49,15.3,May 31,7,2.6
1974,,,,,,,,,,Mar 30,43,14.3,Apr 27,43,16.7,,,
1975,,,,Jan 31,31,5.9,Feb 28,32,8.5,Mar 31,48,14.1,Apr 30,44,14.1,,,
1976,,,,Jan 30,27,7.2,Feb 27,40,10.9,Mar 31,45,14.4,,,,,,
1977,,,,Jan 28,12,2.6,Feb 25,15,3.1,Mar 31,23,6.0,Apr 26,11,4.0,,,
1978,,,,Feb 01,29,7.5,Feb 24,31,8.9,Mar 28,38,12.0,Apr 25,23,10.4,,,
1979,,,,,,,Feb 26,42,12.6,,,,Apr 26,41,15.8,,,
1980,,,,Feb 06,39,9.3,Feb 26,45,11.7,Apr 08,,13.1,Apr 29,33,12.2,,,
1981,,,,Jan 28,7,1.6,Feb 25,11,3.7,Mar 25,19,5.0,Apr 27,0,0.0,,,
1982,,,,Jan 29,30,8.8,Feb 24,30,9.0,Mar 30,43,11.6,Apr 28,31,11.4,,,
