#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 07E06: Powder River Pass, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Powder River Pass (07E06) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9480 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:57 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,,,,Sep 01,,0.0,,,
1937,,,,,,,,,,Jul 01,,8.5,Sep 01,,9.6,,,
1938,,,,,,,,,,Jul 01,,12.2,Sep 01,,4.7,,,
1939,,,,,,,,,,Jul 01,,8.1,Sep 01,,3.4,,,
1940,,,,,,,,,,Jul 01,,10.8,Sep 01,,12.2,,,
1941,,,,,,,,,,Jul 01,,5.9,Sep 01,,8.4,,,
1942,,,,,,,,,,Jul 01,,7.3,Sep 01,,2.6,,,
1943,,,,,,,,,,Jul 01,,10.6,Sep 01,,1.9,,,
1944,,,,,,,,,,Jul 01,,9.9,Sep 01,,7.7,,,
1945,,,,,,,,,,Jul 01,,10.0,Sep 01,,8.0,,,
1946,,,,,,,,,,Jul 01,,10.3,Sep 01,,0.9,,,
1947,,,,,,,,,,Jul 01,,7.7,Sep 01,,10.1,,,
1948,,,,,,,,,,Jul 01,,8.6,Sep 01,,7.5,,,
1949,,,,,,,,,,Jul 01,,11.6,Sep 01,,2.1,,,
1950,,,,,,,,,,Jul 01,,11.5,Sep 01,,11.6,,,
1951,,,,,,,,,,Jul 01,,10.1,Sep 01,,7.1,,,
1952,,,,,,,,,,Jul 01,,13.7,Sep 01,,5.1,,,
1953,,,,,,,,,,Jul 01,,9.5,Sep 01,,8.0,,,
1954,,,,,,,,,,Jul 01,,7.5,Sep 01,,5.0,,,
1955,,,,,,,May 01,,6.2,Jul 01,,9.2,Sep 01,,9.6,,,
1956,,,,Mar 01,,9.1,May 01,,10.8,Jul 01,,10.7,Sep 01,,4.4,,,
1957,,,,Mar 01,,6.3,May 01,,7.5,Jul 01,,9.6,Sep 01,,2.6,,,
