#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 07E32: Big Goose, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Big Goose (07E32) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7760 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:08 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,,,,,,,,,,,,,May 03,24,8.3,,,
1956,,,,Jan 29,32,7.5,Feb 24,31,6.5,Mar 25,34,9.2,Apr 22,34,10.0,,,
1957,,,,Jan 31,19,4.3,Mar 02,19,4.3,Mar 31,30,6.5,Apr 28,37,11.6,,,
1958,,,,Feb 01,22,3.7,Mar 05,21,4.1,Mar 31,25,5.3,Apr 29,56,12.2,,,
1959,,,,Jan 30,25,5.9,Mar 01,30,7.4,Mar 30,41,10.4,Apr 29,29,8.7,,,
1960,,,,Feb 01,21,4.6,Feb 25,29,6.4,Apr 02,25,5.9,May 02,12,4.0,,,
1961,,,,Jan 30,15,2.9,Feb 27,27,6.5,Mar 29,28,7.6,Apr 29,24,6.9,,,
1962,,,,Jan 29,30,8.0,Feb 28,35,9.2,Mar 24,42,10.5,Apr 29,22,6.3,,,
1963,,,,Jan 31,21,4.5,Feb 28,29,5.9,Mar 30,25,6.6,Apr 30,42,12.3,,,
1964,,,,Jan 31,18,3.4,Feb 29,29,6.7,Mar 30,33,9.3,Apr 29,36,11.4,,,
1965,,,,Feb 01,34,6.5,Feb 28,33,7.1,Mar 30,39,10.1,Apr 30,29,8.3,,,
1966,,,,Jan 31,4,1.0,Feb 28,9,1.0,Apr 01,17,4.0,Apr 30,27,8.2,,,
1967,,,,Jan 31,23,5.5,Feb 28,34,9.1,Apr 01,33,9.9,May 01,48,11.5,,,
1968,,,,Jan 31,25,5.5,Mar 01,30,6.8,Apr 02,33,9.0,Apr 26,42,10.7,,,
1969,,,,Feb 03,21,4.1,Mar 03,23,4.3,Apr 01,29,5.4,Apr 30,20,3.1,,,
1970,,,,Feb 02,28,5.0,Mar 02,26,6.1,Mar 30,49,10.8,May 01,52,14.3,,,
