#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 07E37: Geneva Pass, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Geneva Pass (07E37) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Jan 25,15,3.0,Feb 27,44,12.0,Mar 29,50,12.0,Sep 01,,14.7,,,
1962,,,,Jan 31,48,13.5,Feb 27,63,18.0,Apr 01,72,22.5,Sep 01,,19.9,,,
1963,,,,Feb 02,39,9.0,Mar 04,63,16.5,Mar 30,48,15.0,Apr 29,87,26.0,,,
1964,,,,Jan 27,41,9.5,Feb 25,54,14.0,Mar 30,63,18.0,Sep 01,,20.0,,,
1965,,,,Jan 30,78,19.5,Feb 25,72,23.0,Mar 27,78,22.5,Sep 01,,24.6,,,
1966,,,,Jan 27,32,6.5,Feb 26,33,6.6,Mar 28,39,11.0,Sep 01,,14.4,,,
1967,,,,Jan 31,42,11.0,Feb 27,54,14.5,Mar 27,51,16.0,Sep 01,,22.3,,,
1968,,,,Feb 01,39,9.5,Feb 29,60,15.0,Mar 28,60,17.5,Sep 01,,17.7,,,
1969,,,,Jan 28,39,9.0,Feb 27,42,11.0,Mar 31,48,11.5,Sep 01,,14.0,,,
1970,,,,Jan 30,51,13.0,Mar 02,44,13.0,Mar 27,68,18.5,Sep 01,,18.8,,,
1971,,,,Jan 28,60,16.5,Feb 27,67,19.5,Mar 30,75,23.0,Sep 01,,23.0,,,
1972,,,,Jan 30,63,17.5,Mar 01,66,18.5,Apr 01,72,20.5,Sep 01,,23.1,,,
1973,,,,Feb 02,39,8.5,Feb 26,39,8.5,Apr 04,72,19.0,Sep 01,,15.5,,,
1974,,,,Feb 02,39,9.0,Mar 03,60,13.8,Apr 05,63,16.5,Sep 01,,16.1,,,
1975,,,,Feb 02,48,11.0,Feb 26,63,15.0,Apr 02,63,18.0,Sep 01,,20.7,,,
