#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 07E38: Sawmill Divide, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sawmill Divide (07E38) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9260 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,Mar 01,,10.8,May 01,,12.2,Jul 01,,14.5,,,,,,
1957,,,,Mar 01,,8.3,May 01,,9.3,Jul 01,,11.6,,,,,,
1958,,,,Mar 01,,7.0,May 01,,8.6,Jul 01,,10.0,,,,,,
1959,,,,Mar 01,,10.8,May 01,,11.8,Jul 01,,16.4,,,,,,
1960,,,,Mar 01,,10.0,May 01,,11.9,Jul 01,,12.9,,,,,,
1961,,,,Mar 01,,6.3,May 01,,10.1,Jul 01,,10.5,,,,,,
1962,,,,Mar 01,,13.7,May 01,,14.3,Jul 01,,16.9,,,,,,
1963,,,,Mar 01,,8.2,May 01,,12.1,Jul 01,,12.9,,,,,,
1964,,,,Mar 01,,8.3,May 01,,12.5,Jul 01,,13.9,,,,,,
1965,,,,Mar 01,,13.5,May 01,,17.0,Jul 01,,19.3,,,,,,
1966,,,,Mar 01,,3.2,May 01,,4.7,Jul 01,,8.0,,,,,,
1967,,,,Mar 01,,9.7,May 01,,14.3,Jul 01,,15.6,,,,,,
1968,,,,Mar 01,,10.1,May 01,,12.5,Jul 01,,15.4,,,,,,
1969,,,,Mar 01,,7.9,May 01,,9.0,Jul 01,,10.5,,,,,,
1970,,,,Mar 01,,10.8,May 01,,13.1,Jul 01,,15.5,,,,,,
1971,,,,Mar 01,,10.3,May 01,,12.6,Jul 01,,16.6,,,,,,
1972,,,,Mar 01,,12.4,May 01,,14.3,Jul 01,,15.8,,,,,,
1973,,,,Mar 01,,8.1,May 01,,7.5,Jul 01,,11.7,,,,,,
1974,,,,Mar 01,,7.1,May 01,,9.3,Jul 01,,12.3,Apr 26,53,16.6,,,
1975,,,,Jan 29,50,11.6,Feb 26,47,13.4,Mar 27,53,16.2,May 02,71,20.3,,,
