#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 07H04: Battle Mountain, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Battle Mountain (07H04) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7440 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:58:55 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1976,,,,Jan 28,28,5.6,Feb 26,30,8.0,Mar 29,34,10.6,Apr 29,16,4.8,,,
1977,,,,Jan 24,14,2.3,Feb 28,23,3.8,Mar 29,18,5.5,Apr 27,0,0.0,,,
1978,,,,Feb 01,37,9.9,Feb 24,40,12.5,Mar 28,39,15.6,Apr 26,13,5.6,,,
1979,,,,Jan 31,37,9.2,Feb 26,42,11.7,Mar 30,41,12.8,,,,,,
1980,,,,,,,Feb 26,41,10.6,,,,Apr 29,17,10.7,,,
1981,,,,Jan 26,13,2.7,Feb 23,17,4.2,Mar 30,23,5.8,Apr 28,0,0.0,,,
1982,,,,,,,,,,Mar 30,31,10.2,Apr 27,7,3.0,,,
1983,,,,Jan 25,34,7.8,Feb 23,37,10.3,Mar 29,39,12.6,Apr 22,34,12.8,,,
1984,,,,Jan 27,44,12.9,Feb 27,47,13.7,Mar 27,49,15.7,Apr 25,38,14.8,,,
1985,,,,Feb 04,40,10.3,Feb 28,39,11.4,Mar 29,39,12.2,Apr 30,0,0.0,,,
1986,,,,,,,Feb 25,33,10.0,Mar 28,22,9.3,Apr 30,0,0.0,,,
1987,,,,Jan 29,17,3.6,Feb 27,26,5.5,Mar 25,25,7.5,,,,,,
1988,,,,Jan 28,27,6.7,Feb 26,31,8.6,Apr 01,26,9.6,,,,,,
1989,Jan 31,274,7.4,Jan 31,27,7.4,Feb 25,45,11.4,Mar 31,28,8.7,Apr 29,0,0.0,,,
1990,,,,Jan 31,21,4.7,Mar 01,30,8.2,Mar 29,26,8.1,Apr 26,0,0.0,,,
1991,,,,Jan 31,27,6.7,Feb 28,30,8.3,Mar 28,33,10.9,Apr 30,15,5.0,,,
1992,,,,Jan 31,24,5.4,Feb 28,33,8.2,Mar 27,26,9.1,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,May 01,,4.9,,,
1997,Jan 01,,7.4,,,,,,,,,,,,,,,
