#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 08G04: Grannier Meadows, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grannier Meadows (08G04) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 8860 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:14 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1937,,,,,,,Mar 03,45,11.6,Mar 30,49,12.8,Apr 29,51,18.0,,,
1938,,,,,,,Mar 03,36,8.8,Mar 30,48,12.0,Apr 26,36,12.4,,,
1939,,,,,,,Mar 01,38,9.6,Mar 27,31,8.6,Apr 24,21,7.2,,,
1940,,,,,,,Feb 29,20,6.0,Mar 27,34,8.4,Apr 26,21,8.4,,,
1941,,,,Jan 24,28,6.6,Feb 27,32,7.4,Mar 27,43,10.0,Apr 29,53,17.6,,,
1942,,,,Jan 29,25,3.8,Feb 26,37,8.4,Mar 30,40,9.8,Apr 28,20,6.4,,,
1943,,,,Jan 29,60,16.4,Feb 26,60,18.8,Mar 30,62,20.6,Apr 29,45,20.2,,,
1944,,,,Jan 28,27,4.8,Feb 29,38,7.6,Mar 30,51,14.2,Apr 27,61,19.0,,,
1945,,,,Jan 30,24,4.2,Feb 27,37,8.6,Mar 22,39,10.4,Apr 26,60,22.4,,,
1946,,,,Jan 29,36,10.6,Feb 26,40,11.0,Mar 28,49,15.6,Apr 29,10,4.0,,,
1947,,,,Jan 30,43,10.8,Feb 27,43,11.2,Mar 27,48,14.2,May 01,49,14.0,,,
1948,,,,,,,Feb 26,40,13.8,Mar 30,50,15.2,Apr 29,40,15.8,,,
1949,,,,Jan 31,50,11.6,Feb 21,61,19.6,Mar 27,59,18.2,May 02,34,16.4,,,
1950,,,,Jan 27,57,15.6,Feb 27,55,15.0,Apr 02,71,25.6,May 01,60,25.4,,,
1951,,,,Jan 25,41,9.8,Feb 22,49,14.6,Mar 23,43,12.2,Apr 26,37,11.2,,,
1952,,,,Jan 25,54,13.6,Feb 23,57,17.4,Mar 25,73,22.4,Apr 26,50,20.6,,,
