#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09E04: Carter Mountain, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Carter Mountain (09E04) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7950 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1957,,,,Jan 28,15,4.0,Feb 27,15,3.4,Mar 30,17,4.0,Apr 29,44,12.7,,,
1958,,,,Jan 31,17,3.1,Feb 26,15,3.3,Mar 27,23,4.8,Apr 29,38,9.6,,,
1959,,,,Jan 28,9,1.4,Feb 24,13,3.4,Mar 26,21,4.8,Apr 25,17,4.5,,,
1960,,,,Jan 26,16,3.7,Feb 24,21,4.2,Mar 31,18,5.2,Apr 30,14,3.8,,,
1961,,,,Mar 01,,2.7,Mar 01,13,3.2,Mar 30,22,5.3,Apr 28,16,4.7,,,
1962,,,,Jan 28,22,5.3,Feb 25,23,5.0,Mar 29,32,8.2,May 01,16,4.7,,,
1963,,,,Jan 31,14,2.8,Feb 28,13,3.3,Mar 26,16,3.9,Apr 30,28,9.2,,,
1964,,,,Jan 28,6,1.6,Feb 26,14,2.8,Mar 30,16,4.3,Apr 29,33,9.4,,,
1965,,,,Jan 31,18,4.9,Feb 28,18,5.1,Mar 30,24,5.1,Apr 25,24,7.4,,,
1966,,,,Feb 01,4,0.9,Feb 28,6,0.8,Mar 30,8,1.7,Apr 26,9,2.6,,,
1967,,,,Jan 31,10,2.3,Mar 02,17,3.9,Apr 02,17,4.2,May 03,44,8.8,,,
1968,,,,Jan 31,17,3.4,Feb 28,20,4.4,Mar 27,25,6.1,Apr 29,29,8.0,,,
1969,,,,Jan 29,12,2.1,Feb 26,14,2.8,Mar 29,18,3.5,Apr 29,4,1.1,,,
1970,,,,Jan 29,13,2.8,Feb 27,11,2.5,Mar 28,24,4.9,Apr 29,44,9.4,,,
1971,,,,Jan 28,12,2.8,Mar 01,16,3.4,Mar 31,26,5.0,May 02,36,11.4,,,
1972,,,,Jan 29,23,5.0,Feb 28,25,6.1,Mar 30,20,6.0,Apr 30,13,4.2,,,
1973,,,,Feb 01,16,3.0,Feb 26,17,3.2,Mar 26,39,6.5,Apr 27,44,9.3,,,
1974,,,,Jan 30,12,2.9,Feb 27,15,3.6,Mar 27,21,4.8,Apr 25,36,12.0,,,
1975,,,,Jan 28,31,7.1,Feb 26,27,6.9,Mar 30,30,7.0,Apr 28,31,9.8,,,
1976,,,,Jan 30,23,5.1,Feb 28,24,5.2,Mar 31,29,7.1,Apr 30,45,9.9,,,
1977,,,,Jan 30,8,1.8,Feb 25,7,1.4,Mar 30,27,4.2,Apr 28,14,4.1,,,
1978,Dec 30,7,1.1,Jan 30,11,2.2,Feb 27,15,2.0,Mar 30,13,3.8,Apr 29,0,0.0,,,
1979,Jan 01,17,3.2,Jan 30,20,4.0,Feb 27,23,4.4,Mar 29,28,6.0,Apr 28,24,5.6,,,
1980,Dec 31,12,1.9,Jan 30,16,3.7,Feb 28,18,4.4,Mar 29,28,5.8,Apr 28,17,6.1,,,
1981,Dec 29,4,1.3,Jan 30,3,0.8,Feb 27,12,1.7,Mar 31,22,4.6,Apr 30,0,0.0,Jun 01,0,0.0
1982,Dec 30,12,2.2,Jan 30,14,2.9,Feb 27,14,2.5,Mar 29,16,3.4,Apr 30,15,4.1,,,
1983,Dec 29,18,4.2,Jan 29,13,2.6,Feb 26,19,4.1,Apr 02,31,8.3,Apr 28,30,10.9,,,
1984,,,,Jan 28,18,3.6,Feb 29,,3.7,Mar 30,33,7.0,May 03,42,13.0,,,
1985,,,,Jan 29,10,1.3,Mar 01,,2.8,Mar 29,18,3.5,Apr 28,0,0.0,,,
1986,Dec 29,14,2.6,Jan 28,14,3.3,Feb 27,22,8.0,Mar 29,20,9.5,Apr 27,18,6.0,May 29,0,0.0
1987,,,,Jan 26,12,2.4,Feb 26,27,5.2,Mar 30,23,5.2,Apr 27,4,1.2,,,
1988,,,,Jan 28,10,2.4,Feb 28,12,2.5,Mar 29,17,3.7,Apr 26,3,0.7,,,
1989,,,,Jan 31,7,1.2,Mar 05,13,2.0,Mar 26,9,2.2,Apr 30,4,1.0,,,
1990,,,,Jan 28,23,5.1,Feb 28,15,3.8,Apr 01,18,5.2,Apr 29,22,4.8,,,
1991,,,,Feb 01,9,1.9,Mar 01,10,2.0,Mar 31,18,4.0,Apr 28,28,8.0,,,
1992,,,,Jan 27,14,3.2,Feb 25,14,3.5,Mar 27,23,5.0,Apr 27,7,1.6,,,
1993,,,,Jan 28,11,1.4,Feb 28,12,3.3,Mar 28,9,2.2,Apr 28,12,4.6,,,
1994,,,,Jan 28,8,1.1,Feb 27,13,2.4,Mar 29,13,1.8,Apr 25,9,0.9,,,
1995,,,,Jan 27,15,3.8,Feb 25,14,3.0,Mar 30,19,4.0,Apr 27,32,6.4,,,
1996,,,,Jan 31,19,4.6,Feb 26,19,4.6,Mar 29,25,6.5,Apr 29,18,4.9,,,
1997,,,,Jan 29,16,4.2,Feb 25,21,4.9,Mar 29,19,5.4,Apr 29,19,5.1,,,
1998,,,,Jan 29,19,4.2,Feb 26,23,4.5,Mar 26,21,5.1,Apr 26,28,7.6,,,
