#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09E08: Wolverine, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wolverine (09E08) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7650 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:10 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1970,,,,Jan 27,39,7.7,,,,Mar 30,43,11.8,Apr 29,50,15.6,,,
1971,,,,Jan 29,37,8.6,Feb 28,43,12.2,Mar 30,51,15.8,Apr 28,47,16.6,,,
1972,,,,Jan 30,46,13.4,Mar 01,58,18.0,Mar 31,46,18.2,May 01,28,13.4,,,
1973,,,,Jan 31,28,6.8,Mar 01,30,7.6,Apr 02,33,8.9,Apr 30,29,7.3,,,
1974,,,,Jan 31,37,8.6,Feb 28,37,10.4,Mar 31,49,14.2,May 01,31,11.0,,,
1975,,,,Jan 30,42,10.2,Feb 28,46,11.9,Mar 31,49,15.2,Apr 30,42,15.4,,,
1976,,,,Feb 01,45,14.7,,,,Mar 31,56,18.6,Apr 29,50,18.8,,,
1977,,,,Jan 27,19,4.0,Feb 28,19,4.0,Mar 30,26,5.8,Apr 29,0,0.0,,,
1978,Dec 30,37,9.2,Jan 29,43,13.0,Mar 01,54,16.2,Mar 29,42,16.8,Apr 30,25,10.4,,,
1979,Jan 02,35,9.2,Jan 30,43,13.2,Feb 27,49,15.8,Mar 29,47,16.6,Apr 29,38,14.8,,,
1980,Dec 27,17,4.2,Jan 30,29,7.5,Feb 27,36,9.7,Mar 31,47,12.6,Apr 29,17,6.8,,,
1981,Dec 30,21,5.2,Jan 28,21,5.0,Feb 26,27,7.5,Mar 30,27,8.4,Apr 28,13,4.7,,,
1982,Dec 29,26,6.1,Jan 29,44,11.6,Feb 26,41,13.6,Mar 30,48,15.1,Apr 30,40,14.2,,,
1983,Dec 31,24,5.1,Jan 29,32,8.4,Feb 28,38,10.6,Mar 30,40,11.7,Apr 29,29,10.5,,,
1984,Dec 31,24,4.1,Jan 29,26,5.7,Feb 26,27,6.4,Mar 30,27,6.5,Apr 29,22,6.5,,,
1985,Dec 29,29,5.0,Jan 29,25,5.6,Feb 27,33,7.6,Mar 29,35,8.8,Apr 30,14,4.6,Jun 01,0,0.0
1986,Dec 29,22,4.8,Jan 30,33,8.2,Feb 26,55,14.5,Mar 29,46,15.0,Apr 27,28,9.5,,,
