#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09F07: Geyser Creek, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Geyser Creek (09F07) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 8500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:32 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1949,,,,Jan 27,29,6.4,Feb 25,34,8.4,Mar 29,41,10.4,May 03,0,0.0,,,
1950,,,,Feb 01,34,7.6,Mar 03,34,10.0,Mar 30,39,11.4,Apr 26,27,8.6,,,
1951,,,,Feb 02,33,8.0,Mar 01,37,11.2,Mar 28,43,13.4,May 01,31,11.4,,,
1952,,,,Jan 31,25,5.6,Mar 01,30,6.8,Apr 01,30,8.8,Apr 30,6,2.0,,,
1953,,,,Jan 25,22,5.0,Feb 25,26,7.4,Mar 29,25,7.6,Apr 27,16,5.6,,,
1954,,,,Jan 27,28,5.6,Feb 25,25,7.2,Mar 27,40,10.2,Apr 26,21,7.6,,,
1955,,,,Jan 25,12,1.7,Feb 23,17,3.4,Mar 25,29,7.2,Apr 25,23,6.8,,,
1956,,,,Feb 01,39,9.6,Feb 24,36,9.2,Mar 27,40,11.8,Apr 26,35,12.0,,,
1957,,,,Jan 23,21,4.2,Feb 20,25,5.6,Mar 23,31,7.4,Apr 27,34,10.9,,,
1958,,,,Jan 28,13,2.4,Feb 26,16,3.8,Mar 29,23,5.4,Apr 25,15,4.0,,,
1959,,,,Jan 23,19,4.5,Feb 19,27,6.5,Mar 26,31,6.7,Apr 25,18,6.0,,,
1960,,,,Jan 27,14,2.5,Feb 28,20,4.2,Mar 27,17,4.2,Apr 30,6,1.4,,,
1961,,,,Jan 28,12,2.2,Feb 25,19,3.3,Mar 28,22,4.6,Apr 27,15,4.8,,,
1962,,,,Jan 25,29,6.6,Feb 26,36,8.7,Mar 29,36,9.5,Apr 27,12,4.0,,,
1963,,,,Jan 28,16,3.6,Feb 25,27,7.4,Mar 28,26,7.8,Apr 27,27,8.2,,,
1964,,,,Jan 23,16,3.5,Feb 19,18,4.4,Mar 23,30,6.7,Apr 22,24,6.5,,,
1965,,,,Jan 26,27,7.0,Feb 25,33,9.3,Mar 26,43,12.1,Apr 26,31,9.3,,,
1966,,,,Jan 27,16,3.7,Feb 25,18,3.8,Mar 28,18,4.6,Apr 26,12,3.2,,,
1967,,,,Jan 27,23,5.1,Feb 25,27,7.1,Mar 26,29,8.2,Apr 25,30,8.1,,,
1968,,,,Jan 31,19,4.3,Feb 28,21,4.8,Mar 31,21,5.6,May 01,17,4.4,,,
1969,,,,Jan 29,22,5.9,Feb 26,29,6.4,Mar 28,24,6.1,Apr 27,1,0.5,,,
1970,,,,Jan 28,20,3.9,Feb 25,17,4.6,Mar 30,27,5.8,May 01,30,8.9,,,
1971,,,,Jan 28,35,10.0,Feb 24,34,10.2,Mar 29,46,13.9,Apr 28,53,17.1,,,
1972,,,,Jan 26,36,8.7,Mar 04,45,12.7,Mar 28,35,11.7,Apr 26,32,11.9,,,
1973,,,,Jan 30,19,4.0,Feb 27,20,4.5,Mar 29,26,5.0,Apr 26,21,5.4,,,
1974,,,,Jan 29,22,4.9,Feb 26,24,6.1,Mar 27,35,9.3,Apr 25,27,8.3,,,
1975,,,,Jan 28,24,5.7,Feb 25,25,6.1,Mar 30,34,7.8,Apr 27,32,10.0,,,
1976,,,,Jan 27,23,6.2,Feb 27,30,7.5,Mar 28,38,10.4,May 03,0,0.0,,,
1977,,,,Jan 25,1,0.1,Feb 25,0,0.0,Mar 30,16,2.4,Apr 28,1,0.3,,,
1978,,,,Jan 28,29,7.6,Feb 23,34,9.1,Mar 27,31,9.7,Apr 26,17,6.5,,,
1979,,,,Jan 30,31,7.8,Feb 26,32,9.2,Mar 29,27,7.3,Apr 30,15,4.2,,,
1980,,,,Jan 29,20,4.3,Feb 27,19,6.4,Mar 29,27,8.3,Apr 30,3,1.0,,,
1981,,,,Jan 28,10,1.8,Feb 26,5,3.3,Mar 30,22,5.2,Apr 29,0,0.0,,,
1982,,,,Jan 28,28,5.2,Feb 26,28,7.4,Mar 29,33,9.8,Apr 28,24,8.4,,,
1983,,,,Jan 27,13,2.4,Feb 24,18,3.4,Mar 29,20,4.0,Apr 27,31,9.6,,,
1984,,,,Jan 30,22,4.4,Feb 29,,5.1,Mar 29,24,5.7,Apr 26,29,6.0,,,
1985,,,,Jan 31,17,3.4,Feb 25,21,4.0,Mar 29,23,5.2,Apr 28,6,1.8,,,
1986,,,,Jan 30,19,4.7,Feb 26,38,9.0,Mar 27,29,8.8,Apr 28,20,7.0,,,
1987,,,,Jan 29,19,5.0,Feb 26,23,5.4,Mar 25,22,6.2,Apr 27,5,2.0,,,
1988,,,,Jan 27,14,3.4,Feb 25,16,3.8,Mar 26,20,5.6,Apr 26,4,1.4,,,
1989,,,,Jan 29,19,4.3,Feb 25,25,5.9,Mar 27,30,8.1,Apr 27,9,2.5,,,
1990,,,,Jan 29,23,4.9,Feb 24,23,6.2,Mar 29,26,7.0,Apr 26,7,2.0,,,
1991,,,,Feb 02,28,5.4,Feb 24,24,6.2,Mar 29,31,8.2,Apr 29,31,11.2,,,
1992,,,,Jan 29,17,3.6,Feb 26,17,4.1,Mar 26,15,3.8,Apr 30,0,0.0,,,
1993,,,,Jan 27,15,3.2,Feb 25,20,4.3,Mar 30,16,4.1,Apr 28,11,3.3,,,
1994,,,,Jan 27,11,1.8,Feb 24,17,3.5,Mar 31,19,4.8,Apr 27,12,1.4,,,
1995,,,,Jan 25,16,2.9,Feb 24,18,3.8,Mar 29,21,4.7,Apr 26,31,6.7,,,
1996,,,,Jan 28,25,6.2,Feb 27,32,7.5,Mar 27,31,8.2,Apr 30,25,9.3,,,
1997,,,,Jan 30,30,8.5,Feb 27,33,8.7,Mar 26,39,10.5,Apr 28,29,10.0,,,
1998,,,,Jan 29,23,5.0,Feb 25,27,6.7,Mar 26,24,5.3,Apr 28,23,7.5,,,
1999,,,,Jan 28,20,4.6,Feb 23,27,6.9,Mar 30,24,7.2,Apr 28,20,5.1,,,
2000,,,,Jan 26,14,2.9,Feb 28,17,3.4,Mar 30,18,5.0,Sep 01,,0.7,,,
2001,,,,Jan 29,8,1.9,Feb 27,16,2.9,Mar 29,12,2.9,Apr 26,11,3.9,,,
2002,,,,Jan 29,19,3.4,Feb 26,16,3.3,Mar 28,24,5.0,Apr 29,13,4.6,,,
2003,,,,Jan 27,15,2.6,Feb 26,22,4.7,Mar 26,22,4.8,Apr 26,7,2.0,,,
2004,,,,Jan 27,15,3.5,Feb 25,16,3.7,Mar 29,11,2.7,Apr 28,3,1.0,,,
2005,,,,Jan 25,13,2.3,Feb 22,16,2.7,Mar 30,18,3.8,,,,,,
