#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09F09: Dry Creek, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dry Creek (09F09) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 9620 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:31 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1949,,,,Jan 28,24,4.6,Feb 27,25,5.4,,,,May 01,11,3.4,,,
1950,,,,Feb 04,33,8.0,Mar 01,32,8.6,Mar 28,39,10.6,Apr 25,33,10.6,,,
1951,,,,Jan 30,23,5.2,Mar 02,30,7.6,Mar 29,34,9.2,May 03,36,12.0,,,
1952,,,,Feb 01,19,3.6,Mar 02,26,5.6,Apr 02,29,7.2,Apr 28,19,5.8,,,
1953,,,,Jan 23,20,3.6,Feb 24,25,7.2,Mar 28,23,6.4,Apr 25,30,9.0,,,
1954,,,,Feb 03,16,3.2,Feb 23,20,4.4,Mar 25,33,7.4,Apr 25,26,7.8,,,
1955,,,,Jan 22,8,1.9,Feb 21,11,2.2,Mar 29,20,4.9,Apr 22,20,5.4,,,
1956,,,,Feb 03,29,7.4,Feb 27,31,7.7,Mar 29,34,9.6,Apr 28,38,10.4,,,
1957,,,,Jan 25,18,3.4,Feb 22,20,3.9,Mar 25,23,5.0,Apr 30,42,10.7,,,
1958,,,,Jan 30,15,2.7,Feb 27,15,2.6,Mar 30,20,4.4,Apr 27,27,5.9,,,
1959,,,,Jan 27,17,3.5,Feb 20,25,5.6,Mar 30,32,6.7,Apr 28,27,6.9,,,
1960,,,,Jan 29,14,2.5,Mar 01,19,3.7,Mar 29,16,4.0,Apr 30,26,6.7,,,
1961,,,,Jan 30,11,2.2,Feb 27,16,2.8,Mar 30,27,5.2,Apr 29,24,6.4,,,
1962,,,,Jan 27,26,6.0,Feb 28,31,7.1,Mar 31,33,8.5,,,,,,
1963,,,,Jan 30,10,2.0,Feb 27,16,3.9,Mar 30,26,6.5,Apr 29,32,8.3,,,
1964,,,,Jan 25,15,3.1,Feb 23,20,4.2,Mar 25,27,5.2,Apr 24,32,6.5,,,
1965,,,,Jan 28,26,6.1,Feb 27,29,7.4,Mar 28,36,9.3,Apr 28,33,8.3,,,
1966,,,,Jan 29,12,2.6,Feb 27,14,2.7,Mar 30,13,2.9,Apr 28,12,2.6,,,
1967,,,,Jan 29,19,4.8,Feb 27,23,5.2,Mar 29,28,6.9,Apr 28,32,8.2,,,
1968,,,,Feb 02,19,3.8,Mar 01,21,4.6,Apr 02,27,5.8,May 03,26,6.1,,,
1969,,,,Jan 31,19,4.0,Feb 28,25,4.5,Mar 29,25,5.8,Apr 28,17,5.2,,,
1970,,,,Jan 30,18,3.3,Feb 27,17,3.6,Mar 31,29,6.0,Apr 30,38,9.4,,,
1971,,,,Jan 30,26,6.7,Feb 26,34,8.2,Mar 31,36,9.9,May 01,67,18.5,,,
1972,,,,Jan 31,30,7.7,Mar 03,40,9.1,Mar 30,31,9.4,Apr 25,36,10.1,,,
1973,,,,Jan 30,21,3.5,Feb 28,19,3.6,Mar 30,29,3.7,Apr 27,33,5.8,,,
1974,,,,Jan 30,20,4.0,Feb 28,23,4.8,Mar 29,33,6.9,Apr 29,32,8.9,,,
1975,,,,Jan 30,25,5.5,Feb 27,24,5.3,Mar 29,35,7.6,Apr 28,36,9.2,,,
1976,,,,Jan 29,18,4.0,,,,Mar 27,31,7.9,Apr 26,30,8.3,,,
1977,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,
1987,,,,Jan 29,27,6.8,Feb 28,33,8.5,Mar 30,40,9.8,Apr 26,25,8.1,,,
1988,,,,Jan 29,14,2.7,Feb 28,16,3.4,Mar 31,29,4.5,Apr 28,12,3.7,,,
1989,,,,Jan 26,17,3.2,Feb 28,21,3.7,Mar 30,24,5.5,Apr 30,12,3.0,,,
1990,,,,Feb 03,18,4.2,Feb 26,19,4.4,Mar 30,28,5.6,Apr 27,18,5.6,,,
1991,,,,Jan 31,20,4.4,Feb 26,21,4.5,Mar 30,27,5.8,Apr 30,39,9.7,,,
1992,,,,Jan 27,19,4.1,Feb 24,19,4.4,Mar 28,22,5.3,Apr 27,10,3.2,,,
1993,,,,Feb 01,23,4.9,Mar 01,28,5.7,Apr 01,33,8.9,May 02,38,10.3,,,
1994,,,,Jan 28,13,1.4,Feb 25,12,2.9,Mar 30,18,4.6,May 01,12,3.4,,,
1995,,,,Jan 29,14,3.1,Feb 24,18,3.8,Mar 30,28,5.2,Apr 27,39,8.7,,,
