#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10E08: Aster Creek, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Aster Creek (10E08) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:53 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,Mar 01,59,19.6,Apr 01,68,24.7,,,,,,
1931,,,,,,,Mar 01,28,9.1,Apr 01,50,18.4,,,,,,
1932,,,,,,,Mar 01,80,26.4,Apr 01,90,33.2,,,,,,
1933,,,,,,,Mar 01,83,27.5,Apr 01,88,32.4,,,,,,
1934,,,,,,,Mar 01,56,18.5,Apr 01,73,27.0,,,,,,
1935,,,,,,,Mar 01,60,19.9,Apr 01,75,27.7,,,,,,
1936,,,,,,,Mar 01,104,34.4,Apr 01,106,39.2,,,,,,
1937,,,,,,,Mar 01,67,22.2,Apr 01,68,25.3,,,,,,
1938,,,,Feb 01,68,20.3,Mar 01,80,26.5,Apr 01,100,36.9,,,,,,
1939,,,,Feb 01,61,18.4,Mar 01,78,25.6,Apr 01,67,24.9,,,,,,
1940,,,,Feb 01,27,8.2,Mar 01,46,15.1,Apr 01,52,19.2,,,,,,
1941,,,,Feb 01,50,15.1,Mar 01,52,17.1,Apr 01,42,15.6,,,,,,
1942,,,,Feb 01,50,14.9,Mar 01,58,19.3,Apr 01,56,20.8,,,,,,
1943,,,,Feb 01,125,37.5,Mar 01,145,47.8,Apr 01,142,52.4,,,,,,
1944,,,,Feb 01,29,8.6,Mar 01,45,14.9,Apr 01,56,20.8,,,,,,
1945,,,,Feb 01,35,10.6,Mar 01,53,17.5,Apr 01,56,20.7,,,,,,
1946,,,,Feb 01,82,24.7,Mar 01,92,30.5,Apr 01,94,34.7,,,,,,
1947,,,,Feb 01,90,26.9,Mar 01,95,31.3,Apr 01,97,36.0,,,,,,
1948,,,,Feb 01,45,13.4,Mar 01,60,19.9,Apr 01,70,26.1,,,,,,
1949,,,,Feb 01,75,22.5,Mar 01,103,33.9,Mar 31,109,41.4,,,,,,
1950,,,,Feb 01,83,25.0,Mar 01,108,35.5,Apr 01,116,43.6,,,,,,
1951,,,,Feb 02,76,24.5,Feb 28,94,31.9,Apr 01,97,39.9,,,,,,
1952,Jan 03,74,19.9,Jan 30,97,29.9,Feb 26,99,34.5,Apr 02,102,41.3,,,,,,
1953,Jan 01,41,9.1,Jan 30,84,24.5,Feb 26,85,30.7,Mar 30,80,33.0,,,,,,
1954,Dec 31,35,9.3,Jan 31,81,23.4,Feb 26,90,31.0,Apr 01,112,38.0,,,,,,
1955,Dec 30,31,6.4,Jan 30,40,10.7,Mar 02,82,20.1,Mar 31,92,30.6,,,,,,
1956,Dec 30,85,27.3,Feb 02,106,36.8,Feb 29,125,44.5,Mar 30,113,48.7,,,,,,
1957,Dec 30,40,12.3,Jan 31,69,19.0,Feb 27,97,29.8,Mar 28,96,35.3,,,,,,
1958,Jan 01,59,14.8,Jan 28,53,16.4,Feb 27,70,21.8,Mar 30,70,24.8,,,,,,
1959,Jan 02,38,11.0,Jan 27,55,15.5,Feb 26,81,24.1,Apr 01,85,27.5,,,,,,
1960,Dec 31,21,3.6,Jan 30,45,9.7,Mar 01,49,14.6,Mar 30,56,16.6,,,,,,
1961,Dec 30,41,11.8,Jan 30,42,12.3,Feb 25,71,19.7,Mar 28,79,25.9,,,,,,
1962,Dec 28,67,20.4,Jan 27,71,23.1,Feb 28,93,32.0,Mar 28,106,38.2,,,,,,
1963,Dec 31,28,8.0,Jan 30,48,10.9,Feb 27,61,17.7,Mar 27,56,19.2,,,,,,
1964,Dec 30,32,8.0,Jan 29,65,16.5,Feb 26,62,18.3,Mar 28,81,25.4,,,,,,
1965,Dec 29,78,24.7,Jan 27,102,33.9,Feb 24,99,37.9,Mar 29,107,41.9,,,,,,
1966,Dec 31,62,12.4,Jan 27,63,20.5,Feb 26,66,23.5,Mar 29,76,29.1,,,,,,
1967,Dec 29,40,12.8,Jan 30,91,26.6,Feb 27,89,31.2,Mar 30,100,36.2,,,,,,
1968,Dec 29,33,7.9,Feb 02,69,16.3,Feb 27,66,20.3,Mar 28,67,22.5,,,,,,
1969,Dec 30,47,10.7,Jan 29,106,30.6,Feb 26,107,36.3,Mar 26,94,36.1,,,,,,
1970,Dec 29,34,7.6,Jan 29,84,20.6,Feb 26,69,23.0,Mar 30,79,28.8,,,,,,
1971,Dec 30,85,21.2,Jan 28,99,33.8,Feb 27,104,38.2,Mar 30,126,49.6,,,,,,
1972,Dec 28,62,15.1,Feb 01,92,30.3,Feb 28,119,39.9,Mar 30,100,42.7,,,,Jun 01,33,18.0
1973,Jan 02,39,10.1,Jan 29,51,14.2,Feb 28,61,18.9,Mar 28,65,21.9,,,,,,
1974,Dec 28,66,17.5,Jan 29,88,24.9,Feb 26,94,26.5,Mar 27,116,44.0,,,,,,
1975,Dec 30,36,7.0,Jan 30,52,13.2,Feb 26,74,21.3,Mar 26,95,29.1,,,,,,
1976,Dec 29,56,17.7,Jan 29,67,24.4,Feb 25,90,30.0,Mar 29,109,40.3,,,,,,
1977,Dec 29,13,1.3,Jan 31,21,4.1,Feb 28,28,5.2,Mar 29,46,10.5,,,,,,
1978,Dec 28,65,18.5,Jan 30,80,26.6,Feb 28,89,26.4,Mar 29,76,34.1,,,,May 30,29,14.7
1979,Dec 27,47,11.8,Jan 29,59,17.7,Feb 26,88,24.9,Mar 28,88,29.9,,,,,,
1980,Dec 26,31,5.6,Jan 28,60,17.3,Feb 27,75,23.5,Mar 26,89,30.5,,,,,,
1981,Dec 29,37,9.8,Jan 28,44,11.5,Feb 25,55,16.7,Mar 30,51,16.9,,,,,,
1982,Dec 30,68,16.9,Jan 27,94,28.0,Feb 24,97,34.3,Mar 29,110,42.0,,,,,,
1983,Dec 28,56,15.3,Jan 27,59,18.5,Feb 28,84,25.6,Mar 29,85,29.4,,,,,,
1984,Jan 03,51,13.5,Jan 30,49,15.5,Feb 28,57,18.5,Mar 29,68,22.0,,,,,,
1985,Jan 02,76,21.1,Jan 30,59,20.6,Feb 27,79,26.4,Mar 27,102,31.0,,,,,,
1986,Jan 02,55,14.7,Jan 30,66,20.1,Feb 27,114,37.4,Mar 26,107,41.5,,,,,,
1987,Jan 01,30,7.6,Jan 29,47,11.7,Feb 25,51,14.7,Mar 31,49,15.9,,,,,,
1988,Jan 04,37,10.6,Jan 28,53,15.9,Feb 26,61,21.1,Mar 30,70,25.0,,,,,,
1989,Jan 03,58,17.0,Jan 31,74,24.7,Feb 27,76,28.2,Mar 30,104,37.9,,,,,,
1990,Dec 28,29,7.4,Jan 30,67,14.3,Feb 27,63,20.6,Mar 29,59,22.4,,,,,,
1991,Dec 26,37,9.4,Jan 29,43,11.6,Feb 26,44,13.2,Mar 29,82,24.1,,,,,,
1992,Dec 27,38,11.6,Jan 30,40,12.5,Feb 27,62,18.1,Mar 27,51,18.2,,,,,,
1993,Dec 29,51,11.6,Jan 28,61,17.6,Feb 25,80,22.1,Mar 29,63,24.6,,,,,,
1994,Dec 29,25,6.6,Jan 27,37,10.5,Feb 25,72,17.5,Mar 28,57,19.9,,,,,,
1995,Dec 28,52,15.6,Jan 31,74,23.0,Feb 27,75,26.0,Mar 29,94,33.6,,,,,,
1996,Dec 27,59,19.1,Jan 31,109,29.7,Feb 28,116,38.4,Mar 27,103,41.6,,,,,,
1997,Dec 30,108,28.2,Jan 29,115,38.4,Feb 26,114,44.0,Mar 25,116,49.2,,,,,,
1998,Dec 29,35,7.9,Jan 28,76,20.2,Feb 25,77,24.1,Mar 30,68,25.4,,,,,,
