#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10F20: Snow King Mountain, WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Snow King Mountain (10F20) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7660 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:11 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,Feb 02,39,9.6,Mar 02,45,13.7,Mar 25,45,14.1,Apr 27,31,11.4,,,
1960,Dec 29,17,2.7,Feb 01,26,6.0,Mar 01,36,9.3,Mar 31,40,12.5,Apr 29,27,9.6,,,
1961,Jan 03,27,6.3,Feb 03,31,6.2,Mar 04,39,9.3,Mar 26,38,10.9,May 01,21,6.9,,,
1962,Dec 26,38,9.3,Feb 03,46,14.3,Mar 04,59,17.8,Apr 02,54,19.2,May 01,24,9.7,,,
1963,Jan 01,,4.1,Feb 01,31,6.9,Feb 28,33,9.1,Mar 30,33,8.9,Apr 30,34,12.9,,,
1964,Jan 01,,5.6,Jan 31,36,7.9,Feb 28,39,10.0,Mar 27,50,13.6,Apr 30,37,12.6,,,
1965,Jan 01,,8.8,Feb 01,55,15.9,Mar 01,57,16.5,Apr 01,58,20.6,Apr 30,35,15.2,,,
1966,Jan 01,,5.1,Feb 02,33,8.5,Mar 01,41,10.2,Mar 31,39,10.2,Sep 01,,17.8,,,
1967,Jan 01,27,6.2,Feb 02,47,11.7,Mar 01,46,14.2,Apr 03,50,17.5,Apr 28,46,17.4,,,
1968,Jan 02,30,6.2,Jan 31,40,9.0,Feb 28,42,8.2,Mar 29,45,13.6,May 01,35,11.8,,,
1969,Jan 02,31,5.7,Jan 30,56,14.6,Feb 28,60,17.7,Mar 28,57,19.3,May 02,26,12.2,,,
1970,Jan 03,20,3.3,Feb 03,43,11.0,Mar 02,42,12.0,Apr 01,45,14.2,Sep 01,,26.8,,,
1971,Jan 07,37,9.4,Feb 02,45,14.8,Mar 02,55,17.8,Apr 02,65,22.2,May 02,52,22.3,,,
