#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10G12: Kelley R.S., WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Kelley R.s. (10G12) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 8180 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1951,,,,,,,Mar 02,57,18.1,Mar 27,62,21.4,,,,,,
1952,,,,,,,,,,Mar 29,64,21.8,,,,,,
1953,,,,,,,,,,Mar 24,48,15.5,,,,,,
1954,,,,,,,,,,Mar 31,68,19.5,,,,,,
1955,,,,,,,,,,Mar 28,50,14.9,,,,,,
1956,,,,,,,Mar 04,69,21.2,Apr 05,62,22.2,May 03,38,17.4,,,
1957,,,,,,,Mar 03,51,13.9,Apr 03,52,17.1,Apr 26,57,19.4,,,
1958,,,,,,,Mar 10,56,16.8,Mar 24,54,17.9,May 04,42,15.9,,,
1959,,,,,,,,,,Apr 01,49,15.6,Apr 27,40,13.9,,,
1960,,,,,,,,,,Mar 29,40,14.7,Apr 23,31,12.7,,,
1961,,,,Mar 01,,5.3,May 01,,9.4,Mar 31,37,11.4,Apr 27,29,10.4,,,
1962,,,,Feb 02,49,16.4,Feb 26,63,19.7,Mar 31,64,23.4,Apr 27,42,18.4,,,
1963,,,,Jan 25,20,4.6,Mar 03,39,11.9,Mar 28,35,12.6,Apr 27,45,15.8,,,
1964,,,,Jan 31,46,13.2,Feb 24,44,13.4,Apr 02,53,16.7,Apr 27,59,18.6,,,
1965,,,,Feb 03,67,20.7,Feb 25,66,23.9,Apr 03,66,25.8,Apr 28,64,26.9,,,
1966,,,,Jan 28,37,9.8,Feb 25,42,12.0,Mar 28,43,14.0,Apr 28,32,12.4,,,
1967,,,,Jan 28,38,11.1,Feb 25,48,15.7,Mar 29,48,17.3,May 02,60,21.0,,,
1968,,,,Jan 27,27,7.4,Feb 26,43,11.9,Mar 28,47,15.1,Apr 28,49,17.3,,,
1969,,,,Jan 28,50,13.8,Feb 25,64,18.7,Mar 29,57,20.9,Apr 28,44,19.7,,,
1970,,,,Jan 28,49,12.0,Feb 25,45,14.7,Mar 28,50,16.6,Apr 27,50,18.1,,,
