#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 33O01: Russell Lake, YK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Russell Lake (33O01) 
# Yukon Territory  SNOW COURSE/AERIAL MARKER Site - 3480 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:32 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1987,,,,,,,Feb 26,37,7.8,Apr 01,36,8.1,Apr 28,33,9.2,,,
1988,,,,,,,Feb 25,39,9.1,Mar 29,43,11.1,Apr 28,28,9.4,,,
1989,,,,,,,Feb 27,38,8.7,Mar 31,41,9.7,May 02,15,4.7,,,
1990,,,,,,,Feb 28,49,5.0,Mar 28,43,10.1,Apr 26,26,9.1,,,
1991,,,,,,,Feb 28,42,10.0,Apr 02,45,11.5,Apr 30,30,9.0,,,
1992,,,,,,,Mar 02,44,10.9,Mar 31,51,13.6,Apr 30,44,13.5,,,
1993,,,,,,,Feb 24,52,11.3,Mar 30,50,13.2,Apr 30,33,12.4,,,
1994,,,,,,,Mar 03,35,7.6,Mar 29,37,8.9,Apr 28,26,7.8,,,
1995,,,,,,,Feb 27,31,6.1,Mar 30,32,7.4,Apr 27,19,5.6,,,
1996,,,,,,,,,,,,,,,,,,
1997,,,,,,,Mar 01,19,2.9,Mar 27,21,4.2,May 02,3,0.7,,,
1998,,,,,,,Feb 23,18,3.1,Mar 27,17,3.2,Apr 26,0,0.0,,,
1999,,,,,,,Mar 02,24,5.2,Mar 29,28,6.1,Apr 29,20,6.4,,,
2000,,,,,,,Feb 24,35,7.4,Mar 28,40,9.8,Apr 26,37,10.3,,,
2001,,,,,,,Feb 27,34,6.9,Mar 27,36,8.1,Apr 25,35,9.2,,,
2002,,,,,,,Feb 27,30,6.5,Mar 27,32,5.9,Apr 25,30,5.7,,,
2003,,,,,,,Feb 26,28,5.3,Mar 26,33,7.5,Apr 29,22,6.9,,,
2004,,,,,,,Feb 25,36,8.5,Mar 29,40,9.8,Apr 27,40,11.5,,,
2005,,,,,,,Feb 23,46,10.2,Mar 30,46,11.8,Apr 26,34,11.0,,,
2006,,,,,,,Feb 28,32,6.8,Mar 28,33,7.0,Apr 26,32,7.7,,,
2007,,,,,,,Feb 27,33,7.0,Mar 27,44,9.8,Apr 25,30,8.6,,,
2008,,,,,,,Feb 29,34,6.6,Mar 26,35,7.7,Apr 29,31,8.5,,,
2009,,,,,,,Feb 27,39,8.1,Apr 01,46,10.4,Apr 28,42,11.5,,,
2010,,,,,,,Feb 25,31,6.7,Mar 30,32,6.4,Apr 28,13,3.7,,,
2011,,,,,,,Feb 27,47,11.6,Mar 29,43,11.6,Apr 27,42,11.1,,,
2012,,,,,,,Feb 28,47,11.1,Mar 28,46,11.3,Apr 26,39,12.4,,,
