#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 34O01: Edwards Lake, YK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Edwards Lake (34O01) 
# Yukon Territory  SNOW COURSE/AERIAL MARKER Site - 2720 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:30 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1987,,,,,,,Feb 26,31,5.1,Apr 01,26,5.1,Apr 28,26,6.7,,,
1988,,,,,,,Feb 29,32,6.8,Mar 30,35,7.6,Apr 28,26,6.1,,,
1989,,,,,,,Feb 28,36,7.9,Mar 29,35,8.1,Apr 28,20,6.8,,,
1990,,,,,,,Feb 26,34,6.7,Mar 29,32,7.2,May 01,17,5.1,,,
1991,,,,,,,Mar 01,34,7.7,Mar 27,37,8.7,Apr 26,23,7.8,,,
1992,,,,,,,Feb 28,36,8.7,Mar 27,38,8.3,Apr 29,31,9.3,,,
1993,,,,,,,Feb 24,35,7.1,Mar 29,36,8.8,Apr 27,25,6.7,,,
1994,,,,,,,Mar 03,24,4.5,Mar 29,29,6.0,Apr 28,17,4.3,,,
1995,,,,,,,Feb 27,22,3.7,Mar 30,25,5.5,Apr 27,13,3.7,,,
1996,,,,,,,Feb 27,21,3.9,Mar 28,25,5.0,Apr 30,15,4.1,,,
1997,,,,,,,Feb 25,29,5.4,Mar 26,28,5.9,Apr 29,20,5.5,,,
1998,,,,,,,Feb 24,27,5.4,Mar 28,26,5.6,Apr 28,15,4.2,,,
1999,,,,,,,Mar 02,20,3.7,Mar 29,22,4.1,Apr 29,16,4.2,,,
2000,,,,,,,Feb 24,30,6.2,Mar 28,30,7.4,Apr 26,28,7.5,,,
2001,,,,,,,Feb 27,30,6.5,Mar 27,33,7.2,Apr 25,30,8.1,,,
2002,,,,,,,Feb 27,24,4.6,Mar 27,23,4.2,Apr 25,21,4.5,,,
2003,,,,,,,Feb 26,22,4.0,Mar 26,25,4.7,Apr 29,20,5.2,,,
2004,,,,,,,Feb 25,34,8.1,Mar 29,38,9.1,Apr 27,33,10.0,,,
2005,,,,,,,Feb 23,36,7.6,Mar 30,35,8.0,Apr 26,29,7.9,,,
2006,,,,,,,Feb 28,23,3.9,Mar 28,24,5.0,Apr 26,21,5.4,,,
2007,,,,,,,Mar 06,27,5.3,Mar 27,35,6.9,Apr 25,22,6.6,,,
