#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 36L02: Williams Creek, YK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Williams Creek (36L02) 
# Yukon Territory  SNOW COURSE/AERIAL MARKER Site - 3000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:44 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1995,,,,,,,Feb 26,15,1.4,Mar 31,15,3.1,Apr 26,3,0.8,,,
1996,,,,,,,Feb 29,16,3.1,Mar 26,17,3.5,Apr 26,3,0.7,,,
1997,,,,,,,Mar 01,18,3.3,Mar 31,22,3.7,May 02,9,2.3,,,
1998,,,,,,,Feb 23,18,3.1,Mar 27,20,3.6,Apr 26,0,0.0,,,
1999,,,,,,,Feb 24,19,2.9,Mar 26,17,3.6,Apr 26,19,3.6,,,
2000,,,,,,,Feb 28,17,3.0,Mar 27,17,3.2,Apr 25,16,3.3,,,
2001,,,,,,,Feb 27,22,3.9,Mar 29,20,3.9,Apr 26,11,2.8,,,
2002,,,,,,,Mar 04,20,3.1,Apr 02,20,3.3,Apr 29,5,1.2,,,
2003,,,,,,,Mar 03,13,1.7,Mar 28,11,1.7,Apr 27,2,0.4,,,
2004,,,,,,,Feb 24,20,4.3,Mar 29,26,5.4,Apr 28,18,4.9,,,
2005,,,,,,,Feb 28,18,3.0,Mar 30,17,3.1,Apr 28,0,0.0,,,
2006,,,,,,,Mar 01,16,2.8,Mar 27,17,3.5,Apr 27,15,2.4,,,
2007,,,,,,,Mar 06,18,2.8,Mar 29,22,4.2,Apr 30,8,2.0,,,
2008,,,,,,,Feb 27,24,3.5,Mar 26,24,4.7,May 01,0,0.0,,,
2009,,,,,,,Feb 24,26,5.3,Apr 03,28,6.0,Apr 27,26,6.9,,,
2010,,,,,,,Feb 23,21,3.8,Mar 29,23,4.8,Apr 26,0,0.0,,,
2011,,,,,,,Feb 23,28,6.0,Mar 28,24,5.6,Apr 26,0,0.0,,,
2012,,,,,,,,,,Mar 26,28,5.8,,,,,,
