#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 36R01: Eagle Plains, YK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Eagle Plains (36R01) 
# Yukon Territory  SNOW COURSE/AERIAL MARKER Site - 2330 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:52:22 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,,Feb 02,25,5.3,Mar 02,25,5.3,Jul 01,39,13.2,,,,,,
1984,,,,,,,Mar 01,38,10.0,Apr 02,39,11.0,,,,,,
1985,,,,Jan 31,20,3.3,Feb 27,27,5.6,Mar 30,28,5.9,Apr 29,32,7.0,,,
1986,,,,,,,Mar 03,24,5.8,Apr 04,28,7.1,May 02,23,6.8,,,
1987,,,,,,,Mar 02,27,4.7,Mar 30,26,4.8,Apr 29,24,4.9,,,
1988,,,,,,,Feb 25,34,6.0,Mar 28,33,6.2,Apr 25,17,3.8,,,
1989,,,,,,,Feb 28,30,6.5,Mar 30,30,6.8,Apr 30,0,0.0,,,
1990,,,,,,,Feb 28,37,7.3,Mar 29,39,7.7,May 01,31,8.4,,,
1991,,,,,,,Mar 02,33,7.8,Mar 28,32,7.6,May 01,13,3.5,,,
1992,,,,,,,Mar 02,24,5.2,Mar 26,29,6.6,Apr 30,31,6.2,,,
1993,,,,,,,Feb 27,31,5.9,Mar 28,30,6.6,Apr 30,15,5.1,,,
1994,,,,,,,Feb 28,23,3.9,Mar 29,26,4.4,Apr 28,13,4.1,,,
1995,,,,,,,Feb 23,28,5.3,Mar 30,36,7.4,Apr 28,14,3.7,,,
1996,,,,,,,Feb 28,21,3.5,Mar 27,23,4.5,Apr 27,23,5.1,,,
1997,,,,,,,Feb 23,27,5.2,Apr 01,31,6.0,May 01,9,2.6,,,
1998,,,,,,,Feb 25,30,5.6,Mar 31,28,5.1,Apr 24,8,1.9,,,
1999,,,,,,,Feb 23,22,3.4,Mar 30,25,4.5,Apr 29,17,4.8,,,
2000,,,,,,,Feb 24,35,7.6,Mar 30,39,8.6,Apr 28,28,5.9,,,
